Latitude modul,Longitude modul,Sat count,Speed,Alt,Dates
-5.372164, 105.250105, 0, 0.43, 0.00, 14/9/2021
-5.372164, 105.250105, 0, 0.43, 0.00, 14/9/2021
-5.372164, 105.250105, 0, 0.43, 0.00, 14/9/2021
-5.372164, 105.250105, 0, 0.43, 0.00, 14/9/2021
-5.372162, 105.250092, 0, 0.07, 0.00, 14/9/2021
-5.372162, 105.250092, 0, 0.07, 0.00, 14/9/2021
-5.372162, 105.250092, 0, 0.07, 0.00, 14/9/2021
-5.372162, 105.250092, 0, 0.07, 0.00, 14/9/2021
-5.372162, 105.250092, 0, 0.07, 0.00, 14/9/2021
-5.372162, 105.250092, 9, 0.07, 134.40, 14/9/2021
-5.372162, 105.250092, 9, 0.07, 134.40, 14/9/2021
-5.372162, 105.250092, 9, 0.07, 134.40, 14/9/2021
-5.372161, 105.250092, 9, 0.06, 134.40, 14/9/2021
-5.372161, 105.250092, 9, 0.06, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.06, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.06, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.06, 134.40, 14/9/2021
-5.372161, 105.250091, 7, 0.24, 134.40, 14/9/2021
-5.372161, 105.250091, 7, 0.24, 134.40, 14/9/2021
-5.372161, 105.250091, 7, 0.24, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.02, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.02, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.02, 134.40, 14/9/2021
-5.372161, 105.250092, 7, 0.02, 134.40, 14/9/2021
-5.372160, 105.250092, 7, 0.65, 134.40, 14/9/2021
-5.372160, 105.250092, 7, 0.65, 134.40, 14/9/2021
-5.372160, 105.250092, 7, 0.65, 134.40, 14/9/2021
-5.372160, 105.250092, 7, 0.65, 134.40, 14/9/2021
-5.372159, 105.250092, 7, 0.37, 134.40, 14/9/2021
-5.372159, 105.250092, 7, 0.37, 134.40, 14/9/2021
-5.372159, 105.250092, 9, 0.37, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.37, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.37, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.07, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.07, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.07, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.22, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.22, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.22, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.00, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.00, 134.20, 14/9/2021
-5.372159, 105.250092, 9, 0.00, 134.10, 14/9/2021
-5.372159, 105.250092, 9, 0.00, 134.10, 14/9/2021
-5.372159, 105.250092, 9, 0.00, 134.10, 14/9/2021
-5.372160, 105.250092, 9, 0.07, 134.10, 14/9/2021
